date,apport,lacher,stock
2016-01-01,1.089,1.457,1124.185
2016-01-02,0.643,1.388,1123.425
2016-01-03,0.986,1.434,1123.06
2016-01-04,0.87,1.412,1122.615
2016-01-05,0.597,1.3639999999999999,1121.994
2016-01-06,0.413,1.35,1121.097
2016-01-07,2.021,1.218,1121.97
2016-01-08,3.665,9.16,1116.409
2016-01-09,1.943,2.033,1116.289
2016-01-10,1.0190000000000001,0.9289999999999999,1116.435
2016-01-11,0.906,0.972,1116.444
2016-01-12,0.346,0.911,1116.04
2016-01-13,0.76,0.989,1115.611
2016-01-14,0.452,0.855,1115.332
2016-01-15,0.31,0.807,1114.821
2016-01-16,1.387,0.785,1115.613
2016-01-17,6.716,0.541,1121.887
2016-01-18,12.628,0.705,1133.971
2016-01-20,5.128,1.803,1145.274
2016-01-22,5.208,4.4639999999999995,1145.711
2016-01-23,2.879,2.358,1146.451
2016-01-24,3.7459999999999996,3.663,1146.7060000000001
2016-01-25,2.94,1.7469999999999999,1147.944
2016-01-26,1.555,2.74,1146.816
2016-01-27,1.245,2.427,1145.72
2016-01-28,1.851,2.5420000000000003,1145.075
2016-01-29,1.554,1.826,1144.865
2016-01-30,0.859,1.223,1144.387
2016-01-31,0.737,1.497,1143.566
2016-02-01,0.978,1.48,1143.137
2016-02-02,1.4009999999999998,1.435,1143.089
2016-02-03,1.166,1.441,1142.8319999999999
2016-02-04,0.905,1.395,1142.394
2016-02-05,0.978,1.421,1141.921
2016-02-06,0.897,1.68,1140.985
2016-02-07,0.471,1.648,1139.789
2016-02-08,1.639,1.766,1139.677
2016-02-09,2.075,2.1189999999999998,1139.6889999999999
2016-02-10,1.101,1.954,1138.758
2016-02-11,0.923,1.6600000000000001,1138.093
2016-02-12,1.909,1.795,1138.301
2016-02-13,1.6280000000000001,1.881,1138.104
2016-02-14,1.6780000000000002,2.2529999999999997,1137.612
2016-02-15,4.317,2.35,1138.944
2016-02-16,2.916,2.919,1138.998
2016-02-17,0.864,2.206,1137.525
2016-02-18,2.059,1.9549999999999998,1137.628
2016-02-19,0.9400000000000001,1.8780000000000001,1136.72
2016-02-20,1.5549999999999997,9.548,1128.799
2016-02-21,3.577,2.295,1130.156
2016-02-22,1.1580000000000001,1.857,1129.5
2016-02-23,0.902,1.893,1126.768
2016-02-24,0.9400000000000001,1.944,1125.793
2016-02-25,1.22,1.8789999999999998,1125.176
2016-02-26,0.9700000000000001,1.6429999999999998,1124.479
2016-02-27,0.8430000000000001,1.662,1123.829
2016-02-28,0.495,1.669,1122.771
2016-02-29,1.125,1.627,1122.432
2016-03-01,1.045,1.9659999999999997,1121.655
2016-03-02,1.262,1.93,1121.115
2016-03-03,1.148,2.053,1120.254
2016-03-04,1.473,2.054,1119.842
2016-03-05,1.414,2.0789999999999997,1118.923
2016-03-06,1.0739999999999998,2.078,1118.042
2016-03-07,3.086,2.046,1119.191
2016-03-08,2.676,3.336,1118.577
2016-03-09,1.8850000000000002,3.707,1116.5819999999999
2016-03-10,7.895999999999999,4.679,1119.968
2016-03-11,6.541,12.018,1114.777
2016-03-12,47.294,12.435999999999998,1150.017
2016-03-13,27.319,19.703,1157.85
2016-03-14,32.238,18.169,1172.102
2016-03-15,16.047,14.933,1173.356
2016-03-16,9.904,10.057,1173.375
2016-03-17,7.271999999999999,2.113,1178.695
2016-03-18,7.213,1.359,1184.632
2016-03-19,3.352,1.507,1186.367
2016-03-20,3.207,1.555,1188.055
2016-03-21,5.08,1.525,1191.6119999999999
2016-03-22,1.654,1.679,1191.657
2016-03-23,5.281,1.641,1195.392
2016-03-24,4.747,1.62,1198.622
2016-03-25,6.4159999999999995,1.586,1203.562
2016-03-26,4.058,1.655,1206.058
2016-03-27,2.971,1.8270000000000002,1207.27
2016-03-28,2.6020000000000003,1.9819999999999998,1207.98
2016-03-29,3.164,2.154,1209.0819999999999
2016-03-30,3.661,2.1839999999999997,1210.665
2016-03-31,1.874,2.638,1209.935
2016-04-01,1.067,3.3369999999999997,1205.976
2016-04-02,2.9450000000000003,2.815,1206.349
2016-04-03,2.355,2.681,1206.3319999999999
2016-04-04,1.233,4.714,1202.978
2016-04-05,1.2169999999999999,2.101,1202.146
2016-04-06,1.236,2.2359999999999998,1201.1000000000001
2016-04-07,1.088,2.245,1200.108
